filename,newfilename,name,alias
LC.png,PTI.png,ECAir,
LF.png,VTE.png,Corporate Flight Management,
LG.png,LGL.png,Luxair,Luxair
LH.png,GEC.png,Lufthansa Cargo,
LI.png,LIA.png,LIAT,
LJ.png,JNA.png,Jin Air,
LK.png,LLL.png,Lao Skyway,
LL.png,BSK.png,Miami Air International,
LM.png,,Loganair,Livingston
LN.png,LAA.png,Libyan Airlines,
LO.png,LOT.png,LOT Polish Airlines,
LP.png,LPE.png,LATAM Perú,
LQ.png,MKR.png,Lanmei Airlines,
LR.png,LRC.png,Avianca Costa Rica,
LS.png,EXS.png,Jet2.com,
LT.png,SNG.png,Longjiang Airlines,
LU.png,LXP.png,LAN Express,
LV.png,,Level,
LW.png,ANV.png,Pacific Wings,Air Nevada
LX.png,SWR.png,Swiss International Air Lines,Swiss
LY.png,ELY.png,El Al,El Al Israel Airlines
LZ.png,SWU.png,Swiss Global Air Lines,
M0.png,MNG.png,Aero Mongolia,
M2.png,,MHS Aviation,
M3.png,NFA.png,Air Norway,
M4.png,MSA.png,Mistral Air,
M5.png,KEN.png,Kenmore Air,
M6.png,AJT.png,Amerijet International,
M8.png,MSJ.png,SKYJET Airlines,
M9.png,,Motor Sich Jsc,Motor Sich
MB.png,MNB.png,Mng Airlines Cargo,
MC.png,,Air Mobility Command,
MD.png,MDG.png,Air Madagascar,
ME.png,MEA.png,Middle East Airlines,
MF.png,CXA.png,XiamenAir,
MG.png,MGD.png,Miami Air Lease,
MH.png,MAS.png,Malaysia Airlines,
MI.png,SLK.png,SilkAir,
MJ.png,MLR.png,Mihin Lanka,
MK.png,MAU.png,Air Mauritius,
MM.png,APJ.png,Peach Aviation,Medellin
MN.png,CAW.png,Comair,
MO.png,CAV.png,Calm Air International,
MP.png,MPH.png,Martinair,
MQ.png,ENY.png,Envoy Air,
MR.png,MML.png,Hunnu Air,Mongolian Air
MS.png,MSR.png,EgyptAir,
MT.png,TCX.png,Thomas Cook Airlines,
MU.png,CES.png,China Eastern Airlines,
MW.png,MKL.png,Mokulele Airlines,
MY.png,MWG.png,MASwings,
MZ.png,AHX.png,Amakusa Airlines,
N2.png,,Dagestan Airlines,
N3.png,,Aerolineas Mas,Omskavia
N4.png,NWS.png,Nord Wind,
N5.png,NRL.png,Nolinor Aviation,
N6.png,,Nomad Aviation,Aerocontinent
N7.png,WBA.png,Nordic Regional Airlines,Norra
N8.png,MUA.png,National Airlines,
N9.png,NVR.png,Novair,
NA.png,,Nesma Airlines,
NB.png,EAN.png,Skypower Express Airways,
NC.png,JTE.png,Cobham Aviation Services Australia,
ND.png,FMI.png,FMI Air,
NE.png,NMA.png,Nesma Airlines,
NF.png,AVN.png,Air Vanuatu,
NH.png,ANA.png,All Nippon Airways,ANA
NI.png,PGA.png,Portugalia,Portugália–Companhia Portuguesa de Transportes Aéreos
NJ.png,,Niger Airways,
NK.png,NKS.png,Spirit Airlines,
NL.png,SAI.png,Shaheen Air,
NM.png,,Manx,
NN.png,MOV.png,Vim Airlines,
NO.png,NOS.png,Neos,
NP.png,NIA.png,Nile Air,Nile Air
NQ.png,AJX.png,Air Japan,
NR.png,MAV.png,Manta Air,
NS.png,,Hebei Airlines,Caucasus Air
NT.png,IBB.png,Binter Canarias,
NU.png,JTA.png,Japan Transocean Air,Japan Transoc
